Country Name,Country Code,year,consumption,government,investment,gdp,net_exports
Antigua and Barbuda,ATG,1991,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1992,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1993,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1994,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1995,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1996,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1997,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1998,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,1999,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2000,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2001,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2002,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2003,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2004,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2005,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2006,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2007,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2008,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2009,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2010,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2011,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2012,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2013,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2014,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2015,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2016,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2017,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2018,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2019,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2020,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2021,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2022,NA,NA,NA,1,NA
Antigua and Barbuda,ATG,2023,NA,NA,NA,1,NA
Barbados,BRB,1991,NA,NA,NA,1,NA
Barbados,BRB,1992,NA,NA,NA,1,NA
Barbados,BRB,1993,NA,NA,NA,1,NA
Barbados,BRB,1994,NA,NA,NA,1,NA
Barbados,BRB,1995,NA,NA,NA,1,NA
Barbados,BRB,1996,NA,NA,NA,1,NA
Barbados,BRB,1997,NA,NA,NA,1,NA
Barbados,BRB,1998,NA,NA,NA,1,NA
Barbados,BRB,1999,NA,NA,NA,1,NA
Barbados,BRB,2000,NA,NA,NA,1,NA
Barbados,BRB,2001,NA,NA,NA,1,NA
Barbados,BRB,2002,NA,NA,NA,1,NA
Barbados,BRB,2003,NA,NA,NA,1,NA
Barbados,BRB,2004,NA,NA,NA,1,NA
Barbados,BRB,2005,NA,NA,NA,1,NA
Barbados,BRB,2006,NA,NA,NA,1,NA
Barbados,BRB,2007,NA,NA,NA,1,NA
Barbados,BRB,2008,NA,NA,NA,1,NA
Barbados,BRB,2009,NA,NA,NA,1,NA
Barbados,BRB,2010,NA,NA,NA,1,NA
Barbados,BRB,2011,NA,NA,NA,1,NA
Barbados,BRB,2012,NA,NA,NA,1,NA
Barbados,BRB,2013,NA,NA,NA,1,NA
Barbados,BRB,2014,NA,NA,NA,1,NA
Barbados,BRB,2015,NA,NA,NA,1,NA
Barbados,BRB,2016,NA,NA,NA,1,NA
Barbados,BRB,2017,NA,NA,NA,1,NA
Barbados,BRB,2018,NA,NA,NA,1,NA
Barbados,BRB,2019,NA,NA,NA,1,NA
Barbados,BRB,2020,NA,NA,NA,1,NA
Barbados,BRB,2021,NA,NA,NA,1,NA
Barbados,BRB,2022,NA,NA,NA,1,NA
Barbados,BRB,2023,NA,NA,NA,1,NA
"Bahamas, The",BHS,1991,0.5249677261698185,-0.13139793760385415,0.13475583615123038,1,0.23453753009995595
"Bahamas, The",BHS,1992,0.9605801998602288,0.14961072505473214,-0.0038339230163040978,1,-0.4013078831345528
"Bahamas, The",BHS,1993,-1.4810766407678957,-0.9053299848228671,-9.50717712362409,1,5.133515214314368
"Bahamas, The",BHS,1994,0.8682062613402172,0.4626515056239328,0.6854404742505975,1,-0.6680420491594432
"Bahamas, The",BHS,1995,0.864761430842198,-0.1615032408974382,0.31814918113392215,1,0.014565091328105517
"Bahamas, The",BHS,1996,1.1103248849591534,0.16264483978368127,0.4486134981948753,1,-0.3417729902148054
"Bahamas, The",BHS,1997,9.739177067671866,5.34905257596905,4.46591159556546,1,-13.188837880423206
"Bahamas, The",BHS,1998,1.6612372766009234,-0.04725675647150429,1.18383075051447,1,-1.0985125140969143
"Bahamas, The",BHS,1999,0.8374996662389443,-6.583741029012404e-4,-0.3789893115281555,1,0.05431749634571145
"Bahamas, The",BHS,2000,0.5384685360573482,0.13193102295397505,0.8114776030578705,1,-0.22991223281957657
"Bahamas, The",BHS,2001,0.35771556084483014,0.1631233668364211,-0.8949421850580838,1,1.0160385440620598
"Bahamas, The",BHS,2002,0.8936480944324421,-0.07351807440493877,0.3244808342573549,1,0.41523111128581924
"Bahamas, The",BHS,2003,1.5580010158429574,1.1948878266292728,-0.9276219600410289,1,-0.03385998419116064
"Bahamas, The",BHS,2004,-1.7464261367472618,-0.4811114858785841,-2.116470869163046,1,1.7898780521746092
"Bahamas, The",BHS,2005,1.8067583481442606,0.11788859132929913,1.3434907043667268,1,-1.662074065593636
"Bahamas, The",BHS,2006,0.9526550428933387,0.08862892141058965,1.9237305338720898,1,-1.7120363066163795
"Bahamas, The",BHS,2007,0.6161838085434386,-0.01467965812922553,-0.6428855428222099,1,0.8493790727761023
"Bahamas, The",BHS,2008,0.7791322936579064,-0.3857050684495272,0.8820370537145205,1,-0.8062700486715142
"Bahamas, The",BHS,2009,1.6399746583524784,-0.12714263459787115,0.8324856659254078,1,-0.9653225015421538
"Bahamas, The",BHS,2010,0.43507493731024854,-0.028216166669792212,-1.1452818037738242,1,0.29528131465373886
"Bahamas, The",BHS,2011,-0.8087811483410516,1.7175087559296063,4.54169454988588,1,-1.7940310091192346
"Bahamas, The",BHS,2012,-2.027970138148077,-1.1770184327605475,2.329961572618586,1,4.093957557059776
"Bahamas, The",BHS,2013,0.6222490306070108,0.23431347580840345,1.0697114182242007,1,-0.3072064401644623
"Bahamas, The",BHS,2014,1.4181655838180953,-0.2937144067825186,1.8009814860384235,1,-2.728798102795145
"Bahamas, The",BHS,2015,2.1594942769767824,1.1103115075329468,-5.596493914193865,1,2.8814678093618857
"Bahamas, The",BHS,2016,-0.5113368645876148,0.5374404928252293,-1.3357846901857753,1,5.37990894719351
"Bahamas, The",BHS,2017,2.156898793993937,0.6606986473669461,0.883948789041518,1,-1.1461596286092068
"Bahamas, The",BHS,2018,0.08031217168088649,-0.04824484858465051,-0.6095576655270749,1,1.8658822523203824
"Bahamas, The",BHS,2019,4.069728009635112,-1.1900861880152873,-0.5300940941900864,1,-1.570069481526831
"Bahamas, The",BHS,2020,0.46473905734872606,-0.059627393452797384,0.36357719842177105,1,0.28599818422616435
"Bahamas, The",BHS,2021,0.884992711732615,-0.048068374418718446,0.16706165747095936,1,-0.10012333436754295
"Bahamas, The",BHS,2022,0.33230260340864876,0.19175300402549297,-0.11637034248118315,1,1.1810400018574856
"Bahamas, The",BHS,2023,2.162493130354905,0.2805755752796402,0.32083884903722254,1,-0.7435000746897553
Belize,BLZ,1991,0.4584018643380804,0.085826743802263,0.49232060751200374,1,-0.9861551524973486
Belize,BLZ,1992,2.8940866205304934,0.5399776207092205,0.10868166412456705,1,1.2389317089810559
Belize,BLZ,1993,0.4290140983405861,0.07843447460148595,0.5832256968556863,1,0.045441509235841476
Belize,BLZ,1994,-213.69949322045278,-40.71620725978929,326.0065009509559,1,-7.910720850850879
Belize,BLZ,1995,3.651280561393621,0.6877737712802866,2.7616524888950096,1,0.12638246316662016
Belize,BLZ,1996,0.8296889647384915,0.13572069086597516,-0.7785229873456422,1,-0.12667236735792975
Belize,BLZ,1997,0.6655460152821076,0.12855289318534227,-0.033518498307074054,1,0.06245520893042933
Belize,BLZ,1998,1.649324901505912,0.3051274524864619,-0.09334808001746432,1,-0.6291873731117917
Belize,BLZ,1999,0.6787342963966182,0.12608639694552548,0.7649850697476901,1,-0.7076484084047738
Belize,BLZ,2000,0.5731129553348312,0.10919532620796107,0.6165808104606411,1,-0.5140556491778486
Belize,BLZ,2001,1.222763462327482,0.23100337208155158,-0.35620561280456087,1,0.5357213130384572
Belize,BLZ,2002,1.2550982471680894,0.22984955711173802,-0.25113644753085473,1,0.5245829911336509
Belize,BLZ,2003,0.3794445790638617,0.07305539580106475,-0.3325884258995423,1,0.5184118294479712
Belize,BLZ,2004,-0.030955463314787764,-0.006414021307466184,-0.19622507557546293,1,1.3581166498754835
Belize,BLZ,2005,-0.43271888330034636,-0.07911180167058324,0.5672528243289198,1,0.8687562298354861
Belize,BLZ,2006,-0.3736540569968478,-0.06980646506510732,0.07280451876673741,1,2.639640734866867
Belize,BLZ,2007,0.8122008007862953,0.4002997904754985,0.4686133551438498,1,-3.2821303470217744
Belize,BLZ,2008,-0.5931660962669318,0.031514092306343174,-2.3349663900653232,1,1.0355803290345609
Belize,BLZ,2009,3.0077338947286854,-2.977545768998465,14.498004611283584,1,-24.871593583091737
Belize,BLZ,2010,2.1338878976285405,0.7045167127291274,-2.717398255353265,1,-0.9314948064463519
Belize,BLZ,2011,-3.908976022324867,-0.7661651903724552,-0.627841118827142,1,14.65567997602627
Belize,BLZ,2012,0.8799778103853734,0.15074759387441275,-0.13039436494682088,1,0.6980657602915131
Belize,BLZ,2013,0.9752401287871119,0.2496858117756885,0.4996225674636946,1,-1.1117738054834965
Belize,BLZ,2014,0.5455185836828407,0.03685836505111062,0.6577744008955374,1,-0.27968660751649943
Belize,BLZ,2015,1.0943586794208082,0.39723129033944854,0.26900184522105663,1,-2.0566604315178005
Belize,BLZ,2016,27.01947615431572,16.540959199292715,41.35903370274145,1,-77.71807429123712
Belize,BLZ,2017,-0.06156180486286766,-0.25511408057514934,1.4633890739579942,1,-0.15734168602231907
Belize,BLZ,2018,1.9650528112227976,0.6149843804864742,0.8920575896669017,1,4.041603364022231
Belize,BLZ,2019,0.6585297624741179,0.021831746519996243,0.2243732470232106,1,-0.005773735241540456
Belize,BLZ,2020,0.8654297305937655,0.32296596918778614,0.1305731135050911,1,0.24148889901426218
Belize,BLZ,2021,0.719747869666481,0.1535191669878742,0.26418565894916607,1,0.0059463523565062015
Belize,BLZ,2022,0.7646034149969693,0.11185771225218008,0.2553464608640973,1,0.16260543839381436
Belize,BLZ,2023,1.4957732146951896,0.40185217546559904,1.2129625578979546,1,5.889052072082102
Cabo Verde,CPV,1991,NA,NA,NA,1,NA
Cabo Verde,CPV,1992,NA,NA,NA,1,NA
Cabo Verde,CPV,1993,NA,NA,NA,1,NA
Cabo Verde,CPV,1994,NA,NA,NA,1,NA
Cabo Verde,CPV,1995,NA,NA,NA,1,NA
Cabo Verde,CPV,1996,NA,NA,NA,1,NA
Cabo Verde,CPV,1997,NA,NA,NA,1,NA
Cabo Verde,CPV,1998,NA,NA,NA,1,NA
Cabo Verde,CPV,1999,NA,NA,NA,1,NA
Cabo Verde,CPV,2000,NA,NA,NA,1,NA
Cabo Verde,CPV,2001,NA,NA,NA,1,NA
Cabo Verde,CPV,2002,NA,NA,NA,1,NA
Cabo Verde,CPV,2003,NA,NA,NA,1,NA
Cabo Verde,CPV,2004,NA,NA,NA,1,NA
Cabo Verde,CPV,2005,NA,NA,NA,1,NA
Cabo Verde,CPV,2006,NA,NA,NA,1,NA
Cabo Verde,CPV,2007,NA,NA,NA,1,NA
Cabo Verde,CPV,2008,0.24097980023452548,0.10116844978323562,NA,1,0.5041369046516598
Cabo Verde,CPV,2009,-3.0974999740009137,-0.8675557798708774,NA,1,1.3959638847939164
Cabo Verde,CPV,2010,-0.19958340520966114,0.21239941230367781,NA,1,-1.216280909441379
Cabo Verde,CPV,2011,0.6332856779196366,0.3019353962034119,NA,1,0.17335436858842956
Cabo Verde,CPV,2012,0.7457810845497245,-1.095244263760647,NA,1,8.595614971906235
Cabo Verde,CPV,2013,2.244415254821831,0.5709308215403683,NA,1,5.550915453326585
Cabo Verde,CPV,2014,2.498208684847447,1.39763120683168,NA,1,-8.723252788955593
Cabo Verde,CPV,2015,2.7531454905675745,0.7937069886356707,NA,1,4.1501481025245575
Cabo Verde,CPV,2016,1.5038610401650845,0.18102964473970967,NA,1,-0.883435683834924
Cabo Verde,CPV,2017,1.5550886309605048,-0.3656922286822094,NA,1,-0.773225174237261
Cabo Verde,CPV,2018,1.0794581471440516,0.26534760364240045,NA,1,-0.4286729728313199
Cabo Verde,CPV,2019,0.8360346902848864,0.4237751378552452,NA,1,0.3284469835086769
Cabo Verde,CPV,2020,0.4321710114523783,-0.022820734408900485,NA,1,0.575493408586576
Cabo Verde,CPV,2021,1.4328454997386335,0.36153298241658366,NA,1,-0.591898837848194
Cabo Verde,CPV,2022,0.6215826701008956,-0.045377438385582655,NA,1,0.5490167116112854
Cabo Verde,CPV,2023,1.0150476089468348,0.10127302287741886,NA,1,0.5602778122685161
Comoros,COM,1991,1.050138744123711,0.10387432169307707,0.10967165823501465,1,-0.1554031915699878
Comoros,COM,1992,1.0501394313859846,0.10387438977965265,0.10967173070850682,1,-0.15540329668816416
Comoros,COM,1993,1.0501027814034751,0.10387076403097296,0.1096679054184197,1,-0.15539785129206385
Comoros,COM,1994,1.050124698169827,0.10387293537059483,0.10967019067882555,1,-0.15540110792533018
Comoros,COM,1995,1.0501235213433242,0.10387281394251364,0.10967006362423243,1,-0.155400932909429
Comoros,COM,1996,1.050128440488531,0.10387327649316444,0.10967059271971394,1,-0.15540165865759456
Comoros,COM,1997,1.0501924677190164,0.10387962836927894,0.10967727082912487,1,-0.1554111393764951
Comoros,COM,1998,1.0502721852076384,0.103887532879984,0.10968558974659481,1,-0.15542291800064673
Comoros,COM,1999,1.0499931917343759,0.10385992103948818,0.10965647370381677,1,-0.15538165360958028
Comoros,COM,2000,1.0501654565223444,0.103876960787131,0.10967444757463972,1,-0.1554071449731825
Comoros,COM,2001,1.050157058252742,0.1038761236533811,0.10967357166908578,1,-0.15540588950204837
Comoros,COM,2002,1.0500759253779186,0.10386811060852606,0.10966510001139473,1,-0.15539388573768015
Comoros,COM,2003,1.050262054621048,0.1038865221540862,0.10968452782559335,1,-0.1554214423800066
Comoros,COM,2004,1.050116851298554,0.10387214704776143,0.10966937782196123,1,-0.15539994684340186
Comoros,COM,2005,1.050093596250629,0.10386985760135721,0.10966694351346647,1,-0.15539650345392597
Comoros,COM,2006,1.0501260438780307,0.10387306671871832,0.10967033441602791,1,-0.15540130667820262
Comoros,COM,2007,-0.721708657740651,-0.6815602896518098,-0.4209822057328181,1,2.1760925981272785
Comoros,COM,2008,1.329728882029798,0.22987145899992054,0.3750671127083609,1,-0.691735468527283
Comoros,COM,2009,1.6736250492603286,0.37986320479991176,-0.13571563887092916,1,-0.5799492263143872
Comoros,COM,2010,0.5052183897357687,0.017216325198750382,0.12846710069631684,1,0.5285302817380378
Comoros,COM,2011,1.1260901575611142,0.07747162981981269,0.2594738899997576,1,-0.2500990926226312
Comoros,COM,2012,1.311934357167681,0.04317652033758609,0.7812758614693364,1,-1.2479967853684097
Comoros,COM,2013,0.6591311654653776,-0.038676485617650816,0.12399950033707482,1,0.02453681441478403
Comoros,COM,2014,1.1522591832229332,0.44677029541836993,0.019846563410534104,1,-0.37624328049804495
Comoros,COM,2015,0.6875460819097192,0.1128231240238714,0.3727564766522344,1,0.14049660535016528
Comoros,COM,2016,1.0622934669348028,0.15629613785849786,0.10546298076636827,1,-0.1569992223883262
Comoros,COM,2017,1.192666310142484,0.16738271392386697,0.24258590255348048,1,-0.46545375890441154
Comoros,COM,2018,0.6193540101466453,0,0.725823666744113,1,-0.39196057495793835
Comoros,COM,2019,2.1949117207015827,0.21080551561890665,-0.7592809822739413,1,-0.5389283103662553
Comoros,COM,2020,-21.113453578453633,-2.266650473366357,10.742866417879375,1,16.56506718740127
Comoros,COM,2021,0.525829465381291,0.08164807586485437,0.603633460973276,1,0.6308153619474759
Comoros,COM,2022,0.19065053019483336,0.07711943882351666,0.07319033358899235,1,0.7946307942478308
Comoros,COM,2023,0.7081995161970571,0.029256483164967654,0.06349511266818735,1,0.08736669169144232
Cuba,CUB,1991,0.9093436262680265,0.31820661517730087,0.30370781314187895,1,-0.6086761902142732
Cuba,CUB,1992,1.13872758337962,0.1474651082788164,0.5010978837937643,1,-0.45810222438729675
Cuba,CUB,1993,0.4839489320153492,0.025058000802745943,0.18116363805678265,1,0.13117014742663632
Cuba,CUB,1994,4.004998959984701,-1.0872782721789271,-3.010180353046666,1,-1.2976032997984521
Cuba,CUB,1995,0.3079255846928459,-0.09796840595033188,0.1096381921682793,1,-0.3302831082156392
Cuba,CUB,1996,0.5106156730363806,0.19605284821408817,0.27129059389142723,1,-0.061392153240636516
Cuba,CUB,1997,0.8429314906131639,0.3567933047136858,0.149681053205308,1,-0.10165850185252943
Cuba,CUB,1998,8.133065229583282,0.28016839623152046,2.009117098027975,1,2.5135270564113688
Cuba,CUB,1999,0.8058654661649234,0.30536935484983,0.07229753273715256,1,0.16772341595872509
Cuba,CUB,2000,0.3882469399632319,0.18838661565070525,0.12574694261856834,1,0.27025508734022025
Cuba,CUB,2001,1.0718558451681333,0.3665471909451503,-0.0716447582423364,1,3.6577198486820173e-4
Cuba,CUB,2002,1.8011406204810794,1.0343362327254657,-0.4745998380026921,1,0.2529001125194749
Cuba,CUB,2003,1.6364256095898992,0.7034707147765881,-0.11908802620532462,1,-0.15264853305328097
Cuba,CUB,2004,0.6263769154156634,0.561760594737992,0.07651687981940108,1,0.11899821697180396
Cuba,CUB,2005,0.3085710318865343,0.36077891965481507,0.11393756175347837,1,0.2567377553419035
Cuba,CUB,2006,1.1065957804007485,0.2522441524153881,0.24577088017306595,1,-0.20007721637909034
Cuba,CUB,2007,0.5547361992863105,0.5353460405044552,0.028738328605538203,1,0.2995604497905601
Cuba,CUB,2008,-0.06270352871641688,0.23723927238234344,0.1526398745950265,1,0.20894032039368057
Cuba,CUB,2009,0.6972286758822493,0.44761900792432807,-0.37156137712975856,1,1.710049709636143
Cuba,CUB,2010,2.0893064223654383,0.3561831829886096,-0.09856068619400507,1,-0.6668255804909891
Cuba,CUB,2011,0.1649043154533154,-0.15666516635853203,0.13012628115069053,1,0.31300123482828357
Cuba,CUB,2012,0.5553889903702034,-0.0769216014832523,0.15195071223393075,1,0.12824013419158733
Cuba,CUB,2013,1.1521987512355798,0.09692263074513803,0.17896357837673635,1,-0.18233363549963966
Cuba,CUB,2014,2.3087671012085,-0.3213811628987654,-0.20776039923166584,1,-0.30085661452337037
Cuba,CUB,2015,1.0075531923677348,0.003574712193284583,0.2749066339388543,1,-0.31714522228501263
Cuba,CUB,2016,4.927895543442758,-0.13329967477247368,1.0967478547828713,1,-3.596251663824133
Cuba,CUB,2017,0.903708270216875,0.3841570022956989,0.16941647871551468,1,0.11374108252850407
Cuba,CUB,2018,0.7907283786521819,0.18491053211809436,0.25877142029683453,1,-0.04932623543022541
Cuba,CUB,2019,-2.700263836430972,-7.65621094983515,0.2403435459097947,1,1.2491552880308587
Cuba,CUB,2020,0.7503100057697425,0.3046026013570373,0.03401366956656268,1,0.14982776817494467
Cuba,CUB,2021,1.7753547750152452,3.9881584600547257,0.00803810114882967,1,-0.35058077867689524
Cuba,CUB,2022,0.9857607490606276,0.31653911030099835,-0.33364780690013224,1,0.4516635723712852
Cuba,CUB,2023,NA,NA,NA,1,NA
Dominica,DMA,1991,NA,NA,NA,1,NA
Dominica,DMA,1992,NA,NA,NA,1,NA
Dominica,DMA,1993,NA,NA,NA,1,NA
Dominica,DMA,1994,NA,NA,NA,1,NA
Dominica,DMA,1995,NA,NA,NA,1,NA
Dominica,DMA,1996,NA,NA,NA,1,NA
Dominica,DMA,1997,NA,NA,NA,1,NA
Dominica,DMA,1998,NA,NA,NA,1,NA
Dominica,DMA,1999,NA,NA,NA,1,NA
Dominica,DMA,2000,NA,NA,NA,1,NA
Dominica,DMA,2001,NA,NA,NA,1,NA
Dominica,DMA,2002,NA,NA,NA,1,NA
Dominica,DMA,2003,NA,NA,NA,1,NA
Dominica,DMA,2004,NA,NA,NA,1,NA
Dominica,DMA,2005,NA,NA,NA,1,NA
Dominica,DMA,2006,NA,NA,NA,1,NA
Dominica,DMA,2007,NA,NA,NA,1,NA
Dominica,DMA,2008,NA,NA,NA,1,NA
Dominica,DMA,2009,NA,NA,NA,1,NA
Dominica,DMA,2010,NA,NA,NA,1,NA
Dominica,DMA,2011,NA,NA,NA,1,NA
Dominica,DMA,2012,NA,NA,NA,1,NA
Dominica,DMA,2013,NA,NA,NA,1,NA
Dominica,DMA,2014,NA,NA,NA,1,NA
Dominica,DMA,2015,NA,NA,NA,1,NA
Dominica,DMA,2016,NA,NA,NA,1,NA
Dominica,DMA,2017,NA,NA,NA,1,NA
Dominica,DMA,2018,NA,NA,NA,1,NA
Dominica,DMA,2019,NA,NA,NA,1,NA
Dominica,DMA,2020,NA,NA,NA,1,NA
Dominica,DMA,2021,NA,NA,NA,1,NA
Dominica,DMA,2022,NA,NA,NA,1,NA
Dominica,DMA,2023,NA,NA,NA,1,NA
Dominican Republic,DOM,1991,3.3903093253023546,0.08388401034905368,-1.237252831443129,1,1.0692331475409018
Dominican Republic,DOM,1992,1.059917986061992,0.13398749695582443,0.2608078755828927,1,-0.3318379317656698
Dominican Republic,DOM,1993,0.588565929825621,0.1974238765249872,0.30696195232679,1,0.011395099414432175
Dominican Republic,DOM,1994,0.23435558426926423,0.4557285832667529,0.9302699740479584,1,-0.40820936359585225
Dominican Republic,DOM,1995,0.8087191282017875,-0.13842435641385498,0.16694704565670473,1,0.12377552521238239
Dominican Republic,DOM,1996,0.562408202355279,0.1281951862712118,0.40018404322593726,1,0.148102712390255
Dominican Republic,DOM,1997,0.7939991587045032,0.13670404615221424,0.43061541084583094,1,-0.26941557426702145
